time,battery_level
1593895004.73,20
1593895190.025,19
1593895327.503,18
1593895358.154,17
1593895406.672,16
1593895913.284,15
1593895961.473,14
1593895973.949,13
1593896122.546,12
1593896271.125,10
1593896446.675,9
1593896561.523,8
1593896584.19,7
1593896702.318,6
1593896814.772,4
1593896834.025,3
1593896841.766,3
1593896842.883,3
1593896902.201,5
1593897022.141,6
1593897082.129,7
1593897140.973,8
1593897237.664,9
1593897322.137,10
1593897409.933,11
1593897502.169,12
1593897562.133,13
1593897682.13,14
1593897696.416,15
1593897789.84,16
1593897862.127,17
1593897960.634,18
1593898042.143,19
1593898102.151,20
1593898222.13,21
1593898247.149,22
1593898333.175,23
1593898402.14,24
1593898514.144,25
1593898582.143,26
1593898642.139,27
1593898693.519,28
1593898776.57,29
1593898861.076,30
1593898941.105,31
1593899002.115,32
1593899062.138,33
1593899122.129,34
1593899170.888,35
1593899246.451,36
1593899302.13,37
1593899397.53,38
1593899470.194,39
1593899542.121,40
1593899602.12,41
1593899615.404,42
1593899684.324,43
1593899756.13,44
1593899830.277,45
1593899902.126,46
1593899962.137,47
1593899973.996,48
1593900043.592,49
1593900114.68,50
1593900184.432,51
1593900255.572,52
1593900322.128,53
1593900382.138,54
1593900393.35,55
1593900467.417,56
1593900537.059,57
1593900584.548,58
1593900668.727,59
1593900710.864,60
1593900795.126,61
1593900823.017,62
1593900892.66,63
1593900963.615,64
1593901031.905,65
1593901089.929,66
1593901162.204,67
1593901199.603,68
1593901291.866,69
1593901379.685,70
1593901462.258,71
1593901566.23,72
1593901642.133,73
1593901703.929,74
1593901749.046,75
1593901838.203,76
1593901904.24,77
1593901988.713,78
1593902062.129,79
1593902127.231,80
1593902182.132,80
1593902241.951,81
1593902265.89,82
1593902352.038,83
1593902422.136,84
1593902537.54,85
1593902579.735,86
1593902706.247,87
1593902755.81,88
1593902874.429,89
1593902959.191,90
1593903082.111,91
1593903211.809,92
1593903322.131,93
1593903501.167,94
1593903579.212,95
1593903777.555,96
1593903946.931,97
1593904194.933,98
1593904402.129,99
1593904762.129,100
1593905759.719,100
1593906739.624,100
1593906740.116,100
1593907259.68,99
1593907399.743,98
1593907502.41,97
1593907774.444,96
1593907939.664,95
1593907988.588,94
1593908108.992,93
1593908193.518,92
1593908313.848,91
1593908431.963,90
1593909139.65,88
1593909415.689,88
1593910290.143,87
1593910729.19,86
1593911863.381,85
1593912648.524,84
1593913939.65,84
1593914412.713,83
1593915595.288,82
1593915903.795,81
1593916752.542,80
1593918835.7,79
1593919804.853,79
1593920323.335,78
1593921566.465,77
1593922499.141,76
1593922532.631,75
1593924860.358,74
1593925939.658,73
1593926331.875,72
1593926391.902,71
1593927001.942,70
1593927484.734,69
1593928339.655,68
1593929539.641,67
1593929678.201,66
1593929871.274,65
1593929875.308,64
1593930122.082,63
1593930199.695,62
1593930381.783,61
1593930474.732,60
1593930681.925,59
1593930758.102,58
1593930938.249,57
1593931119.718,55
1593931238.577,54
1593931305.07,53
1593931588.594,52
1593931637.302,51
1593932037.803,50
1593932477.615,49
1593932514.256,48
1593932802.2,47
1593933139.642,47
1593933602.055,46
1593933662.862,45
1593933680.373,44
1593933799.641,43
1593933923.568,42
1593934996.126,41
1593935266.846,40
1593935305.817,39
1593935449.759,38
1593935814.292,37
1593935821.719,37
1593935822.647,37
1593935882.284,38
1593935920.573,39
1593935982.823,40
1593936047.987,41
1593936114.64,42
1593936179.828,44
1593936246.439,45
1593936302.074,46
1593936362.07,47
1593936422.069,48
1593936461.075,49
1593936498.049,50
1593936563.225,51
1593936629.846,52
1593936690.606,53
1593936753.4,54
1593936782.052,55
1593936879.832,56
1593936890.752,57
1593936950.043,58
1593937006.205,59
1593937048.331,60
1593937126.262,61
1593937174.628,62
1593937216.698,63
1593937244.727,64
1593937303.891,65
1593937363.121,66
1593937420.842,67
1593937442.061,68
1593937511.208,69
1593937545.168,70
1593937611.782,71
1593937681.306,72
1593937742.072,73
1593937802.06,74
1593937847.789,75
1593937922.058,76
1593937965.535,77
1593938039.603,78
1593938100.513,79
1593938184.719,80
1593938268.863,81
1593938342.061,82
1593938402.072,83
1593938462.906,84
1593938492.188,84
1593938492.249,84
1593938577.842,84
1593938578.437,84
1593938658.378,85
1593938756.626,86
1593938840.835,87
1593938924.925,88
1593939051.006,89
1593939115.506,90
1593939242.651,91
1593939383.111,92
1593939497.532,93
1593939658.212,94
1593939778.207,95
1593940001.123,96
1593940125.58,97
1593940226.462,97
1593940396.982,98
1593940618.221,99
1593941022.696,100
1593943100.249,100
1593943833.924,100
1593943837.82,100
1593943838.287,100
1593944727.529,99
1593945436.192,98
1593946097.564,97
1593946973.757,95
1593947074.416,94
1593947437.906,93
1593947885.219,92
1593948638.11,91
1593949838.022,90
1593951282.328,89
1593953305.711,88
1593953437.047,87
1593953875.959,86
1593954637.585,86
1593955237.585,85
1593956423.691,84
1593956882.553,83
1593957256.244,82
1593957432.619,81
1593957637.577,80
1593957723.853,79
1593957998.013,78
1593958237.58,78
1593958255.321,77
1593958419.812,76
1593958553.927,75
1593958629.766,74
1593958774.004,73
1593958806.663,72
1593958828.951,70
1593960037.581,69
1593960637.597,68
1593961502.331,67
1593961837.61,66
1593963037.714,65
1593963154.342,64
1593963745.576,62
1593964453.782,61
1593964513.924,60
1593964808.573,59
1593964847.088,58
1593964887.635,56
1593965437.576,56
1593966073.059,55
1593966129.494,54
1593967283.49,53
1593967289.662,53
1593967290.755,53
1593967350.117,54
1593967410.151,55
1593967438.679,56
1593967494.628,57
