time,rssi
1593895035.295,0
1593895329.562,0
1593895409.794,-59
1593895409.794,-66
1593895409.794,-67
1593895409.794,-67
1593895409.794,-75
1593895409.794,-75
1593895409.794,-75
1593895409.794,-75
1593895409.794,-76
1593895409.794,-79
1593895409.794,-79
1593895409.794,-79
1593895409.794,-79
1593895409.794,-80
1593895409.794,-80
1593895409.794,-80
1593895409.794,-81
1593895409.794,-81
1593895777.227,0
1593895911.729,-56
1593895911.729,-60
1593895911.729,-67
1593895911.729,-70
1593895911.729,-71
1593895911.729,-72
1593895911.729,-72
1593895911.729,-73
1593895911.729,-74
1593895911.729,-74
1593895911.729,-76
1593895911.729,-78
1593895911.729,-79
1593895911.729,-79
1593895911.729,-79
1593895911.729,-82
1593895911.729,-82
1593895911.729,-84
1593895915.899,-45
1593895915.899,-54
1593895915.899,-55
1593895915.899,-56
1593895915.899,-63
1593895915.899,-70
1593895915.899,-70
1593895915.899,-71
1593895915.899,-72
1593895915.899,-72
1593895915.899,-72
1593895915.899,-72
1593895915.899,-74
1593895915.899,-74
1593895915.899,-75
1593895915.899,-75
1593895915.899,-75
1593895915.899,-77
1593895915.899,-78
1593895915.899,-78
1593895915.899,-79
1593895915.899,-79
1593895915.899,-79
1593895915.899,-80
1593895915.899,-80
1593895915.899,-81
1593895915.899,-81
1593895915.899,-82
1593895915.899,-82
1593896064.393,0
1593896329.892,0
1593896619.085,0
1593896838.025,-52
1593896838.025,-56
1593896838.025,-58
1593896838.025,-61
1593896838.025,-63
1593896838.025,-65
1593896838.025,-66
1593896838.025,-68
1593896838.025,-71
1593896838.025,-71
1593896838.025,-72
1593896838.025,-74
1593896838.025,-75
1593896838.025,-76
1593896838.025,-77
1593896838.025,-78
1593896838.025,-78
1593896838.025,-79
1593896838.025,-79
1593896838.025,-82
1593896904.829,0
1593897099.431,-58
1593897099.431,-68
1593897099.431,-68
1593897099.431,-69
1593897099.431,-70
1593897099.431,-71
1593897099.431,-71
1593897099.431,-71
1593897099.431,-73
1593897099.431,-74
1593897099.431,-75
1593897099.431,-75
1593897099.431,-80
1593897099.431,-80
1593897099.431,-82
1593897099.431,-83
1593897099.431,-83
1593897137.286,-61
1593897137.286,-64
1593897137.286,-69
1593897137.286,-71
1593897137.286,-72
1593897137.286,-72
1593897137.286,-72
1593897137.286,-74
1593897137.286,-74
1593897137.286,-75
1593897137.286,-75
1593897137.286,-76
1593897137.286,-77
1593897137.286,-77
1593897137.286,-78
1593897137.286,-79
1593897137.286,-80
1593897137.286,-80
1593897137.286,-81
1593897137.286,-82
1593897204.407,0
1593897533.574,0
1593897830.459,0
1593898107.256,0
1593898302.376,-64
1593898302.376,-69
1593898302.376,-71
1593898302.376,-71
1593898302.376,-71
1593898302.376,-73
1593898302.376,-74
1593898302.376,-76
1593898302.376,-76
1593898302.376,-76
1593898302.376,-77
1593898302.376,-78
1593898302.376,-78
1593898302.376,-80
1593898302.376,-81
1593898302.376,-82
1593898302.376,-83
1593898399.597,0
1593898677.404,0
1593899050.163,0
1593899389.045,0
1593899512.542,-64
1593899512.542,-69
1593899512.542,-69
1593899512.542,-71
1593899512.542,-72
1593899512.542,-74
1593899512.542,-74
1593899512.542,-76
1593899512.542,-76
1593899512.542,-77
