time,battery_level
1627764317.397,8
1627764418.825,7
1627764666.27,6
1627765310.271,5
1627765324.015,5
1627765324.44,5
1627765325.295,5
1627765380.625,7
1627765420.512,8
1627765464.857,9
1627765504.806,10
1627765556.471,11
1627765605.204,12
1627765655.411,13
1627765705.629,14
1627765744.803,15
1627765801.645,16
1627765864.806,17
1627765903.569,18
1627765953.794,19
1627766004.018,20
1627766054.214,21
1627766102.908,22
1627766153.128,23
1627766224.806,24
1627766257.971,25
1627766344.795,26
1627766370.357,27
1627766464.791,28
1627766473.898,29
1627766524.791,30
1627766626.279,32
1627766704.796,33
1627766723.939,34
1627766820.125,35
1627766867.486,36
1627766884.809,37
1627766944.82,38
1627766993.764,39
1627767127.843,38
1627767525.055,37
1627767889.755,37
1627768192.343,36
1627768566.651,35
1627768822.228,34
1627769332.289,32
1627769603.721,32
1627769747.554,31
1627769774.627,31
1627769775.04,31
1627769775.666,31
1627769835.447,32
1627769889.48,34
1627769955.453,35
1627770015.448,36
1627770075.464,37
1627770135.437,38
1627770153.786,39
1627770251.266,41
1627770315.452,42
1627770375.443,43
1627770435.456,44
1627770495.449,45
1627770553.959,46
1627770604.168,47
1627770652.905,48
1627770675.447,49
1627770735.448,50
1627770795.443,51
1627770852.279,52
1627770902.513,53
1627770954.187,54
1627771005.855,55
1627771035.465,56
1627771095.446,57
1627771155.453,58
1627771215.453,59
1627771275.452,60
1627771335.439,61
1627771423.737,62
1627771455.449,63
1627771488.708,63
1627771553.707,64
1627771617.2,65
1627771682.194,66
1627771745.669,67
1627771810.64,68
1627771875.452,69
1627771935.443,70
1627771996.741,71
1627772077.845,72
1627772145.743,73
1627772213.608,74
1627772284.427,75
1627772355.449,76
1627772415.442,77
1627772505.688,78
1627772595.451,79
1627772654.536,80
1627772735.64,81
1627772812.254,82
1627772890.344,83
1627772955.452,84
1627773015.443,84
1627773049.356,85
1627773195.464,86
1627773220.136,87
1627773331.189,88
1627773412.879,89
1627773555.451,90
1627773675.439,91
1627773795.453,92
1627773975.447,93
1627774035.454,94
1627774288.935,95
1627774455.445,96
1627774695.444,97
1627774935.457,98
1627775115.451,98
1627775175.457,99
1627775415.451,100
1627776615.442,100
1627776782.792,100
1627778566.745,100
1627778806.438,99
1627778896.111,98
1627779094.467,97
1627779514.293,96
1627779766.29,95
1627780366.267,95
1627782166.298,94
1627782285.874,94
1627784553.595,93
1627786366.276,93
1627786966.319,92
1627789366.274,91
1627789574.92,91
1627789724.612,90
1627790089.685,89
1627790501.927,89
1627790566.241,88
