time,id,answer,title
1627762926.363,pm_01,,"Today, I have been in touch with other people"
1627762926.379,pm_02,,Have you consumed any glasses/shots/pints of alcohol today?
1627762926.385,pm_03,,Have you consumed any cups of coffee/tea today?
1627762926.391,pm_04,,Have you used any intoxicating substances today?
1627762926.397,pm_05,,Have you exercised today?
1627762926.403,pm_06,,Right now I feel Active
1627762926.409,pm_07,,Right now I feel Determined
1627762926.414,pm_08,,Right now I feel Attentive
1627762926.42,pm_09,,Right now I feel Inspired
1627762926.426,pm_10,,Right now I feel Alert
1627762926.432,pm_11,,Right now I feel Afraid
1627762926.44,pm_12,,Right now I feel Nervous
1627762926.446,pm_13,,Right now I feel Upset
1627762926.451,pm_14,,Right now I feel Hostile
1627762926.458,pm_15,,Right now I feel Ashamed
1627762926.465,pm_16,,Right now I feel Stressed
1627762926.471,pm_17,,Right now I feel Distracted
1627810597.447,am_01,,Did you sleep well?
1627810597.456,am_02,,Did you have bad dreams?
1627810597.462,am_03,,Do you feel well-rested?
1627810597.468,am_04,,Right now I feel Active
1627810597.474,am_05,,Right now I feel Determined
1627810597.479,am_06,,Right now I feel Attentive
1627810597.485,am_07,,Right now I feel Inspired
1627810597.49,am_08,,Right now I feel Alert
1627810597.496,am_09,,Right now I feel Afraid
1627810597.502,am_10,,Right now I feel Nervous
1627810597.508,am_11,,Right now I feel Upset
1627810597.513,am_12,,Right now I feel Hostile
1627810597.519,am_13,,Right now I feel Ashamed
1627810597.525,am_14,,Right now I feel Stressed
1627810597.531,am_15,,Right now I feel Distracted
1627811459.583,dq_01,,Right now I feel Active
1627811459.595,dq_02,,Right now I feel Determined
1627811459.6,dq_03,,Right now I feel Attentive
1627811459.607,dq_04,,Right now I feel Inspired
1627811459.612,dq_05,,Right now I feel Alert
1627811459.618,dq_06,,Right now I feel Afraid
1627811459.623,dq_07,,Right now I feel Nervous
1627811459.63,dq_08,,Right now I feel Upset
1627811459.635,dq_09,,Right now I feel Hostile
1627811459.642,dq_10,,Right now I feel Ashamed
1627811459.648,dq_11,,Right now I feel Stressed
1627811459.653,dq_12,,Right now I feel Distracted
1627811459.66,dq_13,,I have had social interactions
1627811459.666,dq_14,,I have had a difficult time to complete my tasks
1627811459.671,dq_15,,Have you had any remarkable events?
1627825890.589,dq_01,,Right now I feel Active
1627825890.599,dq_02,,Right now I feel Determined
1627825890.605,dq_03,,Right now I feel Attentive
1627825890.61,dq_04,,Right now I feel Inspired
1627825890.615,dq_05,,Right now I feel Alert
1627825890.621,dq_06,,Right now I feel Afraid
1627825890.628,dq_07,,Right now I feel Nervous
1627825890.633,dq_08,,Right now I feel Upset
1627825890.638,dq_09,,Right now I feel Hostile
1627825890.644,dq_10,,Right now I feel Ashamed
1627825890.65,dq_11,,Right now I feel Stressed
1627825890.656,dq_12,,Right now I feel Distracted
1627825890.661,dq_13,,I have had social interactions
1627825890.668,dq_14,,I have had a difficult time to complete my tasks
1627825890.674,dq_15,,Have you had any remarkable events?
1627848006.213,dq_01,,Right now I feel Active
1627848006.246,dq_02,,Right now I feel Determined
1627848006.256,dq_03,,Right now I feel Attentive
1627848006.266,dq_04,,Right now I feel Inspired
1627848006.278,dq_05,,Right now I feel Alert
1627848006.299,dq_06,,Right now I feel Afraid
1627848006.309,dq_07,,Right now I feel Nervous
1627848006.319,dq_08,,Right now I feel Upset
1627848006.331,dq_09,,Right now I feel Hostile
1627848006.344,dq_10,,Right now I feel Ashamed
1627848006.363,dq_11,,Right now I feel Stressed
1627848006.384,dq_12,,Right now I feel Distracted
1627848006.404,dq_13,,I have had social interactions
1627848006.424,dq_14,,I have had a difficult time to complete my tasks
1627848006.445,dq_15,,Have you had any remarkable events?
1627848719.008,pm_01,,"Today, I have been in touch with other people"
1627848719.018,pm_02,,Have you consumed any glasses/shots/pints of alcohol today?
1627848719.025,pm_03,,Have you consumed any cups of coffee/tea today?
1627848719.031,pm_04,,Have you used any intoxicating substances today?
1627848719.038,pm_05,,Have you exercised today?
1627848719.043,pm_06,,Right now I feel Active
1627848719.049,pm_07,,Right now I feel Determined
1627848719.056,pm_08,,Right now I feel Attentive
1627848719.061,pm_09,,Right now I feel Inspired
1627848719.067,pm_10,,Right now I feel Alert
1627848719.073,pm_11,,Right now I feel Afraid
1627848719.079,pm_12,,Right now I feel Nervous
1627848719.085,pm_13,,Right now I feel Upset
1627848719.091,pm_14,,Right now I feel Hostile
1627848719.096,pm_15,,Right now I feel Ashamed
1627848719.103,pm_16,,Right now I feel Stressed
1627848719.109,pm_17,,Right now I feel Distracted
1627889929.535,am_01,No,Did you sleep well?
1627889931.637,am_02,No,Did you have bad dreams?
1627889933.714,am_03,No,Do you feel well-rested?
1627889936.646,am_04,1,Right now I feel Active
1627889938.666,am_05,2,Right now I feel Determined
1627889942.661,am_06,1,Right now I feel Attentive
1627889944.745,am_07,2,Right now I feel Inspired
1627889946.527,am_08,1,Right now I feel Alert
1627889949.486,am_09,3,Right now I feel Afraid
1627889954.169,am_10,1,Right now I feel Nervous
1627889956.094,am_11,1,Right now I feel Upset
1627889958.386,am_12,1,Right now I feel Hostile
1627889960.378,am_13,1,Right now I feel Ashamed
1627889963.903,am_14,1,Right now I feel Stressed
1627889966.263,am_15,2,Right now I feel Distracted
1627896668.054,dq_01,3,Right now I feel Active
1627896669.24,dq_02,3,Right now I feel Determined
1627896670.241,dq_03,3,Right now I feel Attentive
1627896671.64,dq_04,3,Right now I feel Inspired
1627896673.603,dq_05,1,Right now I feel Alert
1627896675.074,dq_06,1,Right now I feel Afraid
1627896676.574,dq_07,2,Right now I feel Nervous
1627896678.057,dq_08,1,Right now I feel Upset
1627896679.307,dq_09,1,Right now I feel Hostile
1627896680.402,dq_10,1,Right now I feel Ashamed
1627896682.99,dq_11,2,Right now I feel Stressed
1627896684.384,dq_12,1,Right now I feel Distracted
1627896688.351,dq_13,Pleasant,I have had social interactions
