time,double_latitude
1591049532.289,1.0
1591049534.688,1.0
1591050732.898,1.0
1591050734.667,1.0
1591051932.944,1.0
1591051934.87,1.0
1591053132.765,1.0
1591053134.391,1.0
1591054332.751,1.0
1591054332.912,1.0
1591054334.562,1.0
1591055469.447,1.0
1591055471.189,1.0
1591056491.433,1.0
1591056491.556,1.0
1591056491.576,1.0
1591056491.62,1.0
1591056493.207,1.0
1591057932.983,1.0
1591057934.648,1.0
1591059132.755,1.0
1591059134.405,1.0
1591060332.791,1.0
1591060334.46,1.0
1591061532.727,1.0
1591061534.366,1.0
1591062732.749,1.0
1591062734.413,1.0
1591063932.766,1.0
1591063934.468,1.0
1591065132.881,1.0
1591065134.539,1.0
1591066332.749,1.0
1591066334.426,1.0
1591067419.451,1.0
1591067419.543,1.0
1591067419.607,1.0
1591067419.658,1.0
1591067421.513,1.0
1591068668.403,1.0
1591068668.49,1.0
1591068668.523,1.0
1591068668.569,1.0
1591068670.24,1.0
1591069819.409,1.0
1591069819.446,1.0
1591069892.414,1.0
1591069892.471,1.0
1591069892.546,1.0
1591069892.594,1.0
1591069894.253,1.0
1591070571.406,1.0
1591070571.435,1.0
1591070576.41,1.0
1591070576.459,1.0
1591070632.431,1.0
1591070634.118,1.0
1591071796.405,1.0
1591071796.48,1.0
1591071796.521,1.0
1591071796.576,1.0
1591071798.231,1.0
1591073004.419,1.0
1591073004.466,1.0
1591073004.511,1.0
1591073004.587,1.0
1591073006.236,1.0
1591074426.888,1.0
1591074428.719,1.0
1591075599.409,1.0
1591075599.542,1.0
1591075599.575,1.0
1591075599.65,1.0
1591075601.492,1.0
1591076634.42,1.0
1591076634.466,1.0
1591076634.534,1.0
1591076636.187,1.0
1591077080.396,1.0
1591077080.441,1.0
1591077080.467,1.0
1591077335.412,1.0
1591077335.535,1.0
1591078502.444,1.0
1591078502.505,1.0
1591078502.531,1.0
1591078502.579,1.0
1591078504.242,1.0
1591079909.879,1.0
1591079911.507,1.0
1591081110.352,1.0
1591081112.117,1.0
1591082310.219,1.0
1591082311.924,1.0
1591083510.276,1.0
1591083512.293,1.0
1591084710.313,1.0
1591084712.188,1.0
1591085910.185,1.0
1591085911.835,1.0
1591087110.276,1.0
1591087112.156,1.0
1591088310.463,1.0
1591088312.462,1.0
1591089510.319,1.0
1591089512.201,1.0
1591090710.318,1.0
1591090711.952,1.0
1591091910.318,1.0
1591091912.055,1.0
1591093110.292,1.0
1591093111.923,1.0
1591094308.744,1.0
1591094310.893,1.0
1591095508.857,1.0
1591095510.604,1.0
1591096709.373,1.0
1591096712.085,1.0
1591097908.861,1.0
1591097910.723,1.0
1591099108.747,1.0
1591099110.687,1.0
1591100308.848,1.0
1591100310.509,1.0
1591101509.045,1.0
1591101510.743,1.0
1591102710.032,1.0
1591102711.972,1.0
1591103909.047,1.0
1591103911.22,1.0
1591105109.078,1.0
1591105110.926,1.0
1591106308.887,1.0
1591106311.196,1.0
1591107302.967,1.0
1591107303.023,1.0
1591107303.049,1.0
1591107303.098,1.0
1591107305.371,1.0
1591108484.015,1.0
1591108484.107,1.0
1591108484.203,1.0
1591108486.551,1.0
1591109908.982,1.0
1591109910.639,1.0
1591110464.411,1.0
1591110466.144,1.0
1591111347.743,1.0
1591112544.614,1.0
1591112546.243,1.0
1591113746.163,1.0
1591113747.953,1.0
1591114823.767,1.0
1591114824.063,1.0
1591114826.244,1.0
1591115123.89,1.0
1591115123.931,1.0
1591115123.967,1.0
1591115126.016,1.0
