time,rssi
1627762508.272,-54
1627762508.272,-55
1627762508.272,-56
1627762508.272,-57
1627762508.272,-60
1627762508.272,-70
1627762508.272,-72
1627762508.272,-73
1627762508.272,-73
1627762508.272,-77
1627762508.272,-79
1627762508.272,-80
1627762508.272,-80
1627762928.214,-49
1627762928.214,-52
1627762928.214,-55
1627762928.214,-66
1627762928.214,-68
1627762928.214,-71
1627762928.214,-74
1627762928.214,-76
1627762947.077,-52
1627762947.077,-58
1627762947.077,-59
1627762947.077,-68
1627762947.077,-70
1627762947.077,-77
1627762947.077,-84
1627762987.158,-51
1627762987.158,-51
1627762987.158,-52
1627762987.158,-53
1627762987.158,-58
1627762987.158,-68
1627762987.158,-71
1627762987.158,-71
1627762987.158,-76
1627762987.158,-76
1627762987.158,-81
1627762987.158,-82
1627763072.074,-51
1627763072.074,-56
1627763072.074,-57
1627763072.074,-68
1627763072.074,-77
1627763072.074,-78
1627763072.074,-82
1627763092.038,-51
1627763092.038,-52
1627763092.038,-61
1627763092.038,-63
1627763092.038,-69
1627763092.038,-70
1627763092.038,-73
1627763092.038,-76
1627763092.038,-77
1627763092.038,-77
1627763092.038,-82
1627763212.195,-49
1627763212.195,-52
1627763212.195,-57
1627763212.195,-64
1627763212.195,-70
1627763212.195,-73
1627763212.195,-75
1627763212.195,-84
1627763494.676,-50
1627763494.676,-51
1627763494.676,-51
1627763494.676,-55
1627763494.676,-56
1627763494.676,-64
1627763494.676,-68
1627763494.676,-71
1627763494.676,-71
1627763494.676,-75
1627763494.676,-76
1627763494.676,-77
1627763494.676,-84
1627763494.676,-86
1627763515.814,-49
1627763515.814,-52
1627763515.814,-61
1627763515.814,-64
1627763515.814,-67
1627763515.814,-72
1627763515.814,-73
1627763515.814,-77
1627763515.814,-78
1627763515.814,-88
1627764006.273,-51
1627764006.273,-57
1627764006.273,-62
1627764006.273,-67
1627764006.273,-68
1627764006.273,-69
1627764006.273,-74
1627764006.273,-76
1627764006.273,-77
1627764006.273,-86
1627764277.431,-48
1627764277.431,-48
1627764277.431,-55
1627764277.431,-62
1627764277.431,-64
1627764277.431,-67
1627764277.431,-74
1627764277.431,-75
1627764277.431,-76
1627764277.431,-76
1627764437.592,-48
1627764437.592,-55
1627764437.592,-60
1627764437.592,-64
1627764437.592,-65
1627764437.592,-67
1627764437.592,-72
1627764437.592,-76
1627764437.592,-78
1627764684.678,-50
1627764684.678,-51
1627764684.678,-53
1627764684.678,-63
1627764684.678,-66
1627764684.678,-71
1627764684.678,-73
1627764684.678,-75
1627764684.678,-75
1627764684.678,-76
1627764898.418,-50
1627764898.418,-56
1627764898.418,-57
1627764898.418,-62
1627764898.418,-68
1627764898.418,-73
1627764898.418,-74
1627764922.506,-51
1627764922.506,-51
1627764922.506,-60
1627764922.506,-60
1627764922.506,-72
1627764922.506,-75
1627764922.506,-77
1627764922.506,-77
1627764922.506,-78
1627764922.506,-80
1627764922.506,-82
1627764922.506,-87
1627765004.163,-51
1627765004.163,-56
1627765004.163,-57
1627765004.163,-58
1627765004.163,-69
1627765004.163,-72
1627765004.163,-74
1627765004.163,-78
1627765004.163,-83
1627765004.163,-83
1627765004.163,-84
1627765028.146,-52
1627765028.146,-53
1627765028.146,-62
1627765028.146,-71
1627765028.146,-72
1627765028.146,-73
1627765028.146,-74
1627765028.146,-79
1627765028.146,-80
1627765028.146,-81
1627765180.883,-53
1627765180.883,-58
1627765180.883,-59
1627765180.883,-59
1627765180.883,-72
1627765180.883,-78
1627765180.883,-81
1627765220.988,-54
1627765220.988,-54
1627765220.988,-55
1627765220.988,-58
1627765220.988,-70
1627765220.988,-77
1627765220.988,-79
1627765220.988,-82
